,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,110,Chengannur,197149,145524,K. K. Ramachandran Nair,CPIM,52880
2,110,Chengannur,197149,145524,P. C Vishnunath,INC,44897
3,110,Chengannur,197149,145524,P. S. Sreedharan Pillai,BJP,42682
4,110,Chengannur,197149,145524,Sobhana George,IND,3966
5,110,Chengannur,197149,145524,Alex,BSP,483
6,110,Chengannur,197149,145524,E. T. Sasi,IND,247
0,110,Chengannur,197149,145524,,NOTA,363
1,110,Chengannur,197149,145524,,Rejected votes,18
2,110,Chengannur,197149,145524,,Votes not retrieved from EVM,0
