,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,109,Mavelikara,198281,149742,R. Rajesh,CPIM,74555
2,109,Mavelikara,198281,149742,Baiju Kalasala,INC,43013
3,109,Mavelikara,198281,149742,P. M. Velayudhan,BJP,30929
4,109,Mavelikara,198281,149742,T. Asha,SUCIC,242
5,109,Mavelikara,198281,149742,Kattanam Suresh,BSP,213
6,109,Mavelikara,198281,149742,Ajeeshkumar,IND,213
0,109,Mavelikara,198281,149742,,NOTA,523
1,109,Mavelikara,198281,149742,,Rejected votes,54
2,109,Mavelikara,198281,149742,,Votes not retrieved from EVM,0
