,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,26,Elathur,188260,157000,A. K. Saseendran,NCP,76387
2,26,Elathur,188260,157000,Pottangadi Kishan Chand,JDU,47330
3,26,Elathur,188260,157000,V. V. Rajan,BJP,29070
4,26,Elathur,188260,157000,Kotteappatt Krishnan,IND,1724
5,26,Elathur,188260,157000,Raghu Kallikkad,BSP,1142
6,26,Elathur,188260,157000,P. M. Useffali,IND,367
0,26,Elathur,188260,157000,,NOTA,986
1,26,Elathur,188260,157000,,Rejected votes,12
2,26,Elathur,188260,157000,,Votes not retrieved from EVM,0
