,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,41,Vengara,169460,120287,P. K. Kunhalikutty,IUML,72181
2,41,Vengara,169460,120287,P. P. Basheer,CPIM,34124
3,41,Vengara,169460,120287,P. T. Ali Haji,BJP,7055
4,41,Vengara,169460,120287,Kallan Aboobacker Master,SDPI,3049
5,41,Vengara,169460,120287,Surendran Karippuzha,WPI,1864
6,41,Vengara,169460,120287,Subair Swabahi,PDP,1472
0,41,Vengara,169460,120287,,NOTA,531
1,41,Vengara,169460,120287,,Rejected votes,19
2,41,Vengara,169460,120287,,Votes not retrieved from EVM,0
