,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,94,Kaduthuruthy,182685,127174,Mons Joseph,KCM,73793
2,94,Kaduthuruthy,182685,127174,Scaria Thomas,KCST,31537
3,94,Kaduthuruthy,182685,127174,Stephen Chazhikadan,KCTH,17536
4,94,Kaduthuruthy,182685,127174,M. Ginish John,BSP,1473
5,94,Kaduthuruthy,182685,127174,T. P. Kuttappan Kuruppanthara,KJP,968
6,94,Kaduthuruthy,182685,127174,Rajeev Kidangoor,IND,332
0,94,Kaduthuruthy,182685,127174,,NOTA,1533
1,94,Kaduthuruthy,182685,127174,,Rejected votes,2
2,94,Kaduthuruthy,182685,127174,,Votes not retrieved from EVM,0
