,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,61,Chelakkara,190891,151228,U. R. Pradeep,CPIM,67771
2,61,Chelakkara,190891,151228,Thulasi Teacher,INC,57571
3,61,Chelakkara,190891,151228,Shajumon Vattekkad,BJP,23845
4,61,Chelakkara,190891,151228,A. Subramannion,SDPI,1116
0,61,Chelakkara,190891,151228,,NOTA,922
1,61,Chelakkara,190891,151228,,Rejected votes,3
2,61,Chelakkara,190891,151228,,Votes not retrieved from EVM,0
