,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,7,Kalliasseri,176793,138758,T. V. Rajesh,CPIM,83006
2,7,Kalliasseri,176793,138758,Amritha Ramakrishnan,INC,40115
3,7,Kalliasseri,176793,138758,K. P. Arun Master,BJP,11036
4,7,Kalliasseri,176793,138758,Sunil Koyilerian,IND,1455
5,7,Kalliasseri,176793,138758,K. Subair,SDPI,1435
6,7,Kalliasseri,176793,138758,Sainudheen Karivellur,WPI,1080
0,7,Kalliasseri,176793,138758,,NOTA,620
1,7,Kalliasseri,176793,138758,,Rejected votes,28
2,7,Kalliasseri,176793,138758,,Votes not retrieved from EVM,0
