,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,12,Dharmadam,183791,153660,Pinarayi Vijayan,CPIM,87329
2,12,Dharmadam,183791,153660,Mambaram Divakaran,INC,50424
3,12,Dharmadam,183791,153660,Mohanan Manantheri,BJP,12763
4,12,Dharmadam,183791,153660,Tharammal Niyas,SDPI,1994
5,12,Dharmadam,183791,153660,M. Divakaran Thiruvathira,IND,354
6,12,Dharmadam,183791,153660,Divakaran Moottil House,IND,148
0,12,Dharmadam,183791,153660,,NOTA,615
1,12,Dharmadam,183791,153660,,Rejected votes,53
2,12,Dharmadam,183791,153660,,Votes not retrieved from EVM,0
